BU,SIZE,MONYEAR,STEMS
32,I,2005,0
32,I,2009,0
32,I,2012,0
32,I,2018,0
32,I,2020,0
32,J,1995,0
32,J,1999,0
32,J,2002,0
32,J,2005,0
32,J,2009,0
32,J,2012,0
32,J,2018,0
32,J,2020,0
32,SEEDLING,1995,2
32,SEEDLING,1999,2.272727273
32,SEEDLING,2002,2.090909091
32,SEEDLING,2005,1.545454545
32,SEEDLING,2009,1
32,SEEDLING,2012,3
32,SEEDLING,2018,13.09090909
32,SEEDLING,2020,3.636363636
40,A,1998,1.3
40,A,2003,1.888888889
40,A,2005,2.888888889
40,A,2008,0
40,A,2010,0
40,A,2016,0
40,A,2018,0.111111111
40,A,2020,0
40,B,1998,16.5
40,B,2003,23
40,B,2005,25
40,B,2008,0
40,B,2010,6.666666667
40,B,2016,2.777777778
40,B,2018,1.222222222
40,B,2020,0.222222222
40,C,1998,1.7
40,C,2003,17.66666667
40,C,2005,28.11111111
40,C,2008,2.111111111
40,C,2010,25.11111111
40,C,2016,16
40,C,2018,15.44444444
40,C,2020,6.444444444
40,D,1998,0
40,D,2003,0
40,D,2005,0.888888889
40,D,2008,9.777777778
40,D,2010,5.222222222
40,D,2016,11
40,D,2018,12.44444444
40,D,2020,8.333333333
40,E,1998,0
40,E,2003,0
40,E,2005,0
40,E,2008,12
40,E,2010,0.222222222
40,E,2016,1.222222222
40,E,2018,1.222222222
40,E,2020,1.666666667
40,F,1998,0
40,F,2003,0
40,F,2005,0
40,F,2008,9.444444444
40,F,2010,0
40,F,2016,0.111111111
40,F,2018,0
40,F,2020,0.444444444
40,G,1998,0
40,G,2003,0
40,G,2005,0
40,G,2008,4.888888889
40,G,2010,0
40,G,2016,0
40,G,2018,0
40,G,2020,0
40,H,1998,0
40,H,2003,0
40,H,2005,0
40,H,2008,1.555555556
40,H,2010,0
40,H,2016,0
40,H,2018,0
40,H,2020,0
40,I,1998,0
40,I,2003,0
40,I,2005,0
40,I,2008,0.777777778
40,I,2010,0
40,I,2016,0
40,I,2018,0
40,I,2020,0
40,J,1998,0
40,J,2003,0
40,J,2005,0
40,J,2008,0.222222222
40,J,2010,0
40,J,2016,0
40,J,2018,0
40,J,2020,0
40,SEEDLING,1998,2.6
40,SEEDLING,2003,2
40,SEEDLING,2005,1.444444444
40,SEEDLING,2008,0.888888889
40,SEEDLING,2010,0.777777778
40,SEEDLING,2016,3.777777778
40,SEEDLING,2018,3.888888889
40,SEEDLING,2020,0.888888889
