PRES,BU,PLOT,BP,SIZE,SIZE(noCM),STEMS,MONDATE,MONYEAR,LASTBURN,LASTBURNYEAR,GROUPS,STEMS(original)
ABRP,7,8,7_8,A (0 - 2.5),A,48,44064,2020,2019,2019,PBH (0 - 2.5),48
ABRP,12,1,12_1,A (0 - 2.5),A,0,36028,1998,35188,1996,PBH (0 - 2.5),0
ABRP,12,2,12_2,A (0 - 2.5),A,0,36028,1998,35188,1996,PBH (0 - 2.5),0
ABRP,12,1,12_1,A (0 - 2.5),A,0,36741,2000,36294,1999,PBH (0 - 2.5),0
ABRP,12,2,12_2,A (0 - 2.5),A,0,36739,2000,36294,1999,PBH (0 - 2.5),0
ABRP,12,1,12_1,A (0 - 2.5),A,0,37870,2003,37398,2002,PBH (0 - 2.5),0
ABRP,12,2,12_2,A (0 - 2.5),A,2,37862,2003,37398,2002,PBH (0 - 2.5),2
ABRP,12,1,12_1,A (0 - 2.5),A,0,38579,2005,38114,2004,PBH (0 - 2.5),0
ABRP,12,2,12_2,A (0 - 2.5),A,1,38591,2005,38114,2004,PBH (0 - 2.5),1
ABRP,12,1,12_1,A (0 - 2.5),A,0,40021,2009,39573,2008,PBH (0 - 2.5),0
ABRP,12,2,12_2,A (0 - 2.5),A,0,40021,2009,39573,2008,PBH (0 - 2.5),0
ABRP,12,1,12_1,A (0 - 2.5),A,0,40816,2011,2010,2010,PBH (0 - 2.5),0
ABRP,12,2,12_2,A (0 - 2.5),A,0,40815,2011,2010,2010,PBH (0 - 2.5),0
ABRP,12,1,12_1,A (0 - 2.5),A,0,42248,2015,2014,2014,PBH (0 - 2.5),0
ABRP,12,2,12_2,A (0 - 2.5),A,1,42228,2015,2014,2014,PBH (0 - 2.5),1
ABRP,12,1,12_1,A (0 - 2.5),A,5,43669,2019,2018,2018,PBH (0 - 2.5),5
ABRP,12,2,12_2,A (0 - 2.5),A,0,43669,2019,2018,2018,PBH (0 - 2.5),0
ABRP,13,1,13_1,A (0 - 2.5),A,0,36741,2000,36294,1999,PBH (0 - 2.5),0
ABRP,13,1,13_1,A (0 - 2.5),A,0,37870,2003,37398,2002,PBH (0 - 2.5),0
ABRP,13,1,13_1,A (0 - 2.5),A,0,38579,2005,38114,2004,PBH (0 - 2.5),0
ABRP,13,1,13_1,A (0 - 2.5),A,0,40373,2010,39965,2009,PBH (0 - 2.5),0
ABRP,13,1,13_1,A (0 - 2.5),A,0,42250,2015,2014,2014,PBH (0 - 2.5),0
ABRP,13,1,13_1,A (0 - 2.5),A,4,43671,2019,2018,2018,PBH (0 - 2.5),4
ABRP,15,1,15_1,A (0 - 2.5),A,0,35653,1997,35188,1996,PBH (0 - 2.5),0
