PRES,BU,PLOT,BP,SIZE,STEMS,MONDATE,MONYEAR,LASTBURN,LASTBURNYEAR,SIZE_MONYEAR
ABRP,1,6,1_6,E,0,9/18/2007,2007,2006,2006,2007_E
ABRP,1,6,1_6,F,2,9/18/2007,2007,2006,2006,2007_F
ABRP,1,6,1_6,G,0,9/18/2007,2007,2006,2006,2007_G
ABRP,1,6,1_6,H,0,9/18/2007,2007,2006,2006,2007_H
ABRP,1,6,1_6,I,0,9/18/2007,2007,2006,2006,2007_I
ABRP,1,6,1_6,J,0,9/18/2007,2007,2006,2006,2007_J
ABRP,1,7,1_7,SEEDLING,3,9/17/2007,2007,2006,2006,2007_SEEDLING
ABRP,1,7,1_7,A,15,9/17/2007,2007,2006,2006,2007_A
ABRP,1,7,1_7,B,24,9/17/2007,2007,2006,2006,2007_B
ABRP,1,7,1_7,C,12,9/17/2007,2007,2006,2006,2007_C
ABRP,1,7,1_7,D,3,9/17/2007,2007,2006,2006,2007_D
ABRP,1,7,1_7,E,0,9/17/2007,2007,2006,2006,2007_E
ABRP,1,7,1_7,F,0,9/17/2007,2007,2006,2006,2007_F
ABRP,1,7,1_7,G,0,9/17/2007,2007,2006,2006,2007_G
ABRP,1,7,1_7,H,0,9/17/2007,2007,2006,2006,2007_H
ABRP,1,7,1_7,I,0,9/17/2007,2007,2006,2006,2007_I
ABRP,1,7,1_7,J,0,9/17/2007,2007,2006,2006,2007_J
ABRP,1,8,1_8,SEEDLING,3,9/17/2007,2007,2006,2006,2007_SEEDLING
ABRP,1,8,1_8,A,16,9/17/2007,2007,2006,2006,2007_A
ABRP,1,8,1_8,B,48,9/17/2007,2007,2006,2006,2007_B
ABRP,1,8,1_8,C,35,9/17/2007,2007,2006,2006,2007_C
ABRP,1,8,1_8,D,2,9/17/2007,2007,2006,2006,2007_D
ABRP,1,8,1_8,E,0,9/17/2007,2007,2006,2006,2007_E
ABRP,1,8,1_8,F,0,9/17/2007,2007,2006,2006,2007_F
ABRP,1,8,1_8,G,0,9/17/2007,2007,2006,2006,2007_G
ABRP,1,8,1_8,H,0,9/17/2007,2007,2006,2006,2007_H
ABRP,1,8,1_8,I,0,9/17/2007,2007,2006,2006,2007_I
ABRP,1,8,1_8,J,0,9/17/2007,2007,2006,2006,2007_J
ABRP,1,9,1_9,SEEDLING,3,9/18/2007,2007,2006,2006,2007_SEEDLING
ABRP,1,9,1_9,A,5,9/18/2007,2007,2006,2006,2007_A
ABRP,1,9,1_9,B,8,9/18/2007,2007,2006,2006,2007_B
ABRP,1,9,1_9,C,19,9/18/2007,2007,2006,2006,2007_C
ABRP,1,9,1_9,D,0,9/18/2007,2007,2006,2006,2007_D
ABRP,1,9,1_9,E,1,9/18/2007,2007,2006,2006,2007_E
ABRP,1,9,1_9,F,2,9/18/2007,2007,2006,2006,2007_F
ABRP,1,9,1_9,G,3,9/18/2007,2007,2006,2006,2007_G
ABRP,1,9,1_9,H,0,9/18/2007,2007,2006,2006,2007_H
ABRP,1,9,1_9,I,0,9/18/2007,2007,2006,2006,2007_I
ABRP,1,9,1_9,J,0,9/18/2007,2007,2006,2006,2007_J
ABRP,1,1,1_1,SEEDLING,2,8/3/2009,2009,6/5/2008,2008,2009_SEEDLING
ABRP,1,1,1_1,A,0,8/3/2009,2009,6/5/2008,2008,2009_A
ABRP,1,1,1_1,B,6,8/3/2009,2009,6/5/2008,2008,2009_B
ABRP,1,1,1_1,C,1,8/3/2009,2009,6/5/2008,2008,2009_C
ABRP,1,1,1_1,D,1,8/3/2009,2009,6/5/2008,2008,2009_D
ABRP,1,1,1_1,E,1,8/3/2009,2009,6/5/2008,2008,2009_E
ABRP,1,1,1_1,F,0,8/3/2009,2009,6/5/2008,2008,2009_F
ABRP,1,1,1_1,G,0,8/3/2009,2009,6/5/2008,2008,2009_G
ABRP,1,1,1_1,H,0,8/3/2009,2009,6/5/2008,2008,2009_H
ABRP,1,1,1_1,I,0,8/3/2009,2009,6/5/2008,2008,2009_I
ABRP,1,1,1_1,J,0,8/3/2009,2009,6/5/2008,2008,2009_J
ABRP,1,2,1_2,SEEDLING,1,8/3/2009,2009,6/5/2008,2008,2009_SEEDLING
ABRP,1,2,1_2,A,0,8/3/2009,2009,6/5/2008,2008,2009_A
ABRP,1,2,1_2,B,0,8/3/2009,2009,6/5/2008,2008,2009_B
ABRP,1,2,1_2,C,1,8/3/2009,2009,6/5/2008,2008,2009_C
ABRP,1,2,1_2,D,1,8/3/2009,2009,6/5/2008,2008,2009_D
ABRP,1,2,1_2,E,0,8/3/2009,2009,6/5/2008,2008,2009_E
ABRP,1,2,1_2,F,0,8/3/2009,2009,6/5/2008,2008,2009_F
ABRP,1,2,1_2,G,0,8/3/2009,2009,6/5/2008,2008,2009_G
ABRP,1,2,1_2,H,0,8/3/2009,2009,6/5/2008,2008,2009_H
ABRP,1,2,1_2,I,0,8/3/2009,2009,6/5/2008,2008,2009_I
ABRP,1,2,1_2,J,0,8/3/2009,2009,6/5/2008,2008,2009_J
ABRP,1,3,1_3,SEEDLING,3,8/3/2009,2009,6/5/2008,2008,2009_SEEDLING
ABRP,1,3,1_3,A,1,8/3/2009,2009,6/5/2008,2008,2009_A
ABRP,1,3,1_3,B,32,8/3/2009,2009,6/5/2008,2008,2009_B
ABRP,1,3,1_3,C,13,8/3/2009,2009,6/5/2008,2008,2009_C
