PRES,BU,PLOT,BP,meanPerPG,StdDevPG,MONYEAR,MONDATE,LASTBURNDATE,LASTBURNYEAR,,
ABRP,13,1,13_1,2.1,3.959000405,2010,7/14/2010,6/1/2009,2009,,
ABRP,15,1,15_1,NA,NA,1997,8/11/1997,5/3/1996,1996,,
ABRP,15,1,15_1,27.05,23.8470455,2000,7/31/2000,5/14/1999,1999,,
ABRP,15,1,15_1,16.45,19.8082253,2003,8/29/2003,5/22/2002,2002,,
ABRP,15,1,15_1,45.31578947,26.44081994,2005,8/27/2005,5/7/2004,2004,,
ABRP,15,1,15_1,19.14285714,16.99256463,2008,8/19/2008,2006,2006,,
ABRP,15,1,15_1,2,3.949683532,2008,8/19/2008,2007,2007,,
ABRP,15,1,15_1,13.05,18.41759742,2010,7/13/2010,6/1/2009,2009,,
ABRP,15,1,15_1,7.35,10.17879633,2018,8/8/2018,2017,2017,,
ABRP,21,1,21_1,37.5,12.40755288,1998,8/24/1998,5/27/1997,1997,,
ABRP,21,1,21_1,33.5,17.02165803,2001,8/2/2001,5/9/2000,2000,,
ABRP,21,1,21_1,54,20.93850646,2003,8/20/2003,5/23/2002,2002,,
ABRP,21,1,21_1,42.45,19.12693059,2005,8/25/2005,4/14/2004,2004,,
ABRP,21,1,21_1,30.5,15.20906932,2007,10/2/2007,2006,2006,,
ABRP,21,1,21_1,24.95,12.85741645,2009,7/20/2009,6/20/2008,2008,,
ABRP,21,1,21_1,26.5,13.7744997,2011,10/20/2011,2010,2010,,
ABRP,21,1,21_1,30.5,15.46643224,2017,9/26/2017,2016,2016,,
ABRP,21,2,21_2,28.35,16.70888512,1998,8/24/1998,5/27/1997,1997,,
ABRP,21,2,21_2,31,15.18309309,2001,8/3/2001,5/9/2000,2000,,
ABRP,21,2,21_2,45,18.5670903,2003,8/20/2003,5/23/2002,2002,,
ABRP,21,2,21_2,46.75,20.98088102,2005,8/25/2005,4/14/2004,2004,,
ABRP,21,2,21_2,23.9,14.25297753,2007,10/2/2007,2006,2006,,
ABRP,21,2,21_2,18.05,9.276313923,2009,7/20/2009,6/20/2008,2008,,
ABRP,21,2,21_2,36.75,18.72761822,2011,10/20/2011,2010,2010,,
ABRP,21,2,21_2,36.5,15.39822273,2017,9/26/2017,2016,2016,,
ABRP,21,3,21_3,36.25,21.63543633,1998,8/25/1998,5/27/1997,1997,,
ABRP,21,3,21_3,40,16.38356044,2001,8/3/2001,5/9/2000,2000,,
ABRP,21,3,21_3,39.75,19.89941813,2003,9/5/2003,5/23/2002,2002,,
ABRP,21,3,21_3,55.5,17.00619082,2005,8/23/2005,4/14/2004,2004,,
ABRP,21,3,21_3,43.5,14.69872891,2007,10/2/2007,2006,2006,,
ABRP,21,3,21_3,30.75,13.30561812,2009,7/20/2009,6/20/2008,2008,,
ABRP,21,3,21_3,44,20.1049876,2011,10/20/2011,2010,2010,,
ABRP,21,3,21_3,44.25,15.49830211,2017,9/26/2017,2016,2016,,
ABRP,22,1,22_1,12.1,11.8228147,1999,8/16/1999,7/30/1998,1998,,
ABRP,22,1,22_1,19.45,17.55734964,2002,9/4/2002,4/13/2001,2001,,
ABRP,22,1,22_1,28.6,16.13234737,2004,7/19/2004,6/4/2003,2003,,
ABRP,22,1,22_1,8.55,10.28271416,2006,8/29/2006,2005,2005,,
ABRP,22,1,22_1,11.66666667,10.8012345,2008,7/11/2008,2006,2006,,
ABRP,22,1,22_1,9.642857143,7.354821996,2008,7/11/2008,2007,2007,,
ABRP,22,1,22_1,25.75,18.44444004,2010,7/15/2010,6/1/2009,2009,,
ABRP,22,1,22_1,9.85,3.513507769,2012,8/9/2012,2011,2011,,
ABRP,22,1,22_1,36.25,13.16644459,2014,10/31/2014,2013,2013,,
ABRP,22,1,22_1,29.75,16.739097,2018,8/9/2018,2017,2017,,
ABRP,22,2,22_2,7.55,10.05498044,1999,8/16/1999,7/30/1998,1998,,
ABRP,22,2,22_2,13.45,16.61791994,2002,9/5/2002,4/13/2001,2001,,
ABRP,22,2,22_2,21.7,24.15323886,2004,7/13/2004,6/4/2003,2003,,
ABRP,22,2,22_2,6.95,8.976431128,2006,8/29/2006,2005,2005,,
ABRP,22,2,22_2,7.5,10.53565375,2008,7/22/2008,2007,2007,,
ABRP,22,2,22_2,23.65,19.0159905,2010,7/16/2010,6/1/2009,2009,,
ABRP,22,2,22_2,14.35,15.71213075,2012,8/9/2012,2011,2011,,
ABRP,22,2,22_2,28.05,22.0226558,2014,11/2/2014,2013,2013,,
ABRP,22,2,22_2,35.75,24.88261917,2018,8/9/2018,2017,2017,,
ABRP,22,3,22_3,11.35,14.65129777,1999,8/20/1999,7/30/1998,1998,,
ABRP,22,3,22_3,14.45,14.14390328,2002,9/9/2002,4/13/2001,2001,,
ABRP,22,3,22_3,13.15,15.79231992,2004,8/3/2004,6/4/2003,2003,,
ABRP,22,3,22_3,3.4,4.031455268,2006,8/29/2006,2005,2005,,
ABRP,22,3,22_3,7.8,11.04821967,2008,7/23/2008,2007,2007,,
ABRP,22,3,22_3,11.65,8.945889971,2010,7/16/2010,6/1/2009,2009,,
ABRP,22,3,22_3,3.05,5.462551939,2012,8/15/2012,2011,2011,,
ABRP,22,3,22_3,10.55,13.95283408,2014,11/3/2014,2013,2013,,
ABRP,22,3,22_3,18.55,17.23971852,2018,8/9/2018,2017,2017,,
ABRP,22,4,22_4,25.15,19.26894147,1999,8/18/1999,7/30/1998,1998,,
ABRP,22,4,22_4,24.05,20.10884854,2002,9/11/2002,4/13/2001,2001,,
ABRP,22,4,22_4,37.1,16.82072656,2004,8/6/2004,6/4/2003,2003,,
ABRP,22,4,22_4,24.8,14.2813828,2006,8/29/2006,2005,2005,,
ABRP,22,4,22_4,11.4,10.33848202,2008,7/23/2008,2007,2007,,
ABRP,22,4,22_4,18.8,11.92343998,2010,7/15/2010,6/1/2009,2009,,
ABRP,22,4,22_4,10.8,11.42757514,2012,8/9/2012,2011,2011,,
ABRP,22,4,22_4,58.85,20.82830817,2014,11/3/2014,2013,2013,,
ABRP,22,4,22_4,28.75,12.34109523,2018,8/8/2018,2017,2017,,
ABRP,22,5,22_5,24.55,20.70716886,1999,8/17/1999,7/30/1998,1998,,
ABRP,22,5,22_5,36.4,23.54704138,2002,9/17/2002,4/13/2001,2001,,
ABRP,22,5,22_5,50,16.93641359,2004,9/23/2004,6/4/2003,2003,,
ABRP,22,5,22_5,20.75,16.32523071,2006,8/29/2006,2005,2005,,
ABRP,22,5,22_5,15.9,6.797058187,2008,7/24/2008,2007,2007,,
